date,signal_date,signal_lag_days,confidence,trailing_ic_mean,matured_ic_count,dynamic_l1_limit,dynamic_active_share_limit,dynamic_turnover_limit,enforce_alpha_directionality,negative_signal_ow_before,negative_signal_ow_after,target_turnover,candidate_turnover,executed_turnover,projection_turnover_before_cap,turnover_cap_scale,signal_scale,ema_alpha,projection_status,constraint_violation,turnover_excess,fallback_used,weight_sum,min_weight,max_weight_actual,active_l1,allocated_active_budget,raw_target_active_share,target_active_share,executed_active_share,tradable_name_count,non_tradable_portfolio_weight,non_tradable_benchmark_weight,tradable_weight_sum_error,tradable_benchmark_sum_error
2020-10-02,2020-10-01,1,0.659626216077829,0.01638504864311316,6,0.2919252432155658,0.1459626216077829,0.07617383512544804,1,0,0,0.2388277570646737,0.03904513486756177,0.055345551446811435,0.055335323701970446,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.12539912359762073,0.17951543495820121,0.1459626216077829,0.14596262160778287,0.14596262160778287,0.08975771747910061,64,0.0,0.0,0.0,2.220446049250313e-16
2020-11-02,2020-10-30,1,0.3482062852022529,0.003928251408090115,6,0.22964125704045057,0.11482062852022529,0.0543744399641577,1,0,0,0.18365222787137145,0.023909373944927873,0.029469413104769134,0.029465976985676462,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.12280466234597935,0.16794349136862935,0.11482062852022529,0.11482062852022527,0.11482062852022527,0.08397174568431467,64,0.0,0.0,0.0,0.0
2020-12-01,2020-11-30,1,0.9698460701484896,0.02879384280593958,6,0.3539692140296979,0.17698460701484894,0.09788922491039427,1,0,0,0.2418652457831526,0.046577453166372726,0.05536961409562434,0.05536692148607543,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.12361219995167821,0.20619476194904146,0.17698460701484894,0.17698460701484897,0.17698460701484897,0.10309738097452073,64,0.0,0.0,0.0,0.0
2020-12-30,2020-12-29,1,0.2,-0.08622951868919611,6,0.2,0.1,0.044,1,0,0,0.17343410847114812,0.028852973220089857,0.03045999483416886,0.030459084051332387,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13044353586373755,0.19975804529079141,0.1,0.1,0.1,0.09987902264539571,64,0.0,0.0,0.0,0.0
2021-01-28,2021-01-27,1,0.2,-0.0580837173579109,6,0.2,0.1,0.044,1,0,0,0.217124819284585,0.044372969622702776,0.046293696069513876,0.04410607180224174,0.9975950748296666,,0.8,projected|turnover_capped,hard_rule_turnover_override,0.0022936960695138786,0,1.0,0.0,0.12837527305299398,0.1752934825298056,0.1,0.09999999999999999,0.09999999999999999,0.0876467412649028,64,0.0,0.0,0.0,1.1102230246251565e-16
2021-02-26,2021-02-25,1,0.2,-0.059979838709677415,6,0.2,0.1,0.044,1,0,0,0.18266257298892874,0.023762482048807883,0.04479407097396758,0.044237612098181424,0.9946287313688165,,0.8,projected|turnover_capped,hard_rule_turnover_override,0.0007940709739675811,0,1.0,0.0,0.1173665281027442,0.14547592016191482,0.1,0.1,0.1,0.07273796008095741,64,0.0,0.0,2.220446049250313e-16,0.0
2021-03-29,2021-03-26,1,0.2,-0.07100454429083461,6,0.2,0.1,0.044,1,0,0,0.15168237630891807,0.023130878807876804,0.026414992299743596,0.026401716033961117,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.11526296867346492,0.12772066939871268,0.1,0.1,0.1,0.06386033469935634,64,0.0,0.0,0.0,0.0
2021-04-27,2021-04-26,1,0.2,-0.11407130056323606,6,0.2,0.1,0.044,1,0,0,0.177085100039191,0.030402998259233902,0.04376622862155735,0.043795689966983485,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.1184971532572913,0.119291270827287,0.1,0.1,0.09999999999999998,0.0596456354136435,64,0.0,0.0,2.220446049250313e-16,0.0
2021-05-26,2021-05-25,1,0.2,-0.09238991295442907,6,0.2,0.1,0.044,1,0,0,0.1646796614120246,0.023492451073298632,0.038558711344928207,0.03822127653341469,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.11225210122324511,0.12742997527508143,0.1,0.1,0.1,0.06371498763754072,64,0.0,0.0,0.0,0.0
2021-06-24,2021-06-23,1,0.2,-0.05838773681515617,6,0.2,0.1,0.044,1,0,0,0.18907665152061456,0.024736470060756056,0.024733521646480322,0.02473353105818108,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.11483328394300597,0.12376826513421513,0.1,0.1,0.1,0.061884132567107564,64,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16
2021-07-23,2021-07-22,1,0.2,-0.07435675883256529,6,0.2,0.1,0.044,1,0,0,0.1731149232529866,0.022794505846048186,0.030877273030349744,0.03087328878783472,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.12063339841696613,0.1088980081688326,0.1,0.09999999999999999,0.09999999999999998,0.0544490040844163,64,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16
2021-08-23,2021-08-20,1,0.2,-0.02008128520225294,6,0.2,0.1,0.044,1,0,0,0.1519092451112168,0.021780534925848354,0.025411337061678734,0.025410411942771393,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.11929279311111991,0.10949594409224364,0.1,0.09999999999999998,0.09999999999999998,0.05474797204612182,64,0.0,0.0,0.0,0.0
2021-09-21,2021-09-20,1,0.41821076548899155,0.006728430619559661,6,0.2436421530977983,0.12182107654889915,0.059274753584229414,1,0,0,0.22093235941294292,0.04856770399687009,0.059039045480778304,0.05904223462205936,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.11688279048747204,0.12152541963107641,0.12182107654889915,0.12182107654889913,0.12182107654889913,0.060762709815538204,64,0.0,0.0,0.0,0.0
2021-10-20,2021-10-19,1,1.0,0.04823545629997244,6,0.36,0.18,0.1,1,0,0,0.2889532815431832,0.07274853746436014,0.07561266994750052,0.07561317112562146,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.11600040548685667,0.17024265289135615,0.18,0.17999999999999997,0.17999999999999994,0.08512132644567807,64,0.0,0.0,4.440892098500626e-16,1.1102230246251565e-16
2021-11-18,2021-11-17,1,1.0,0.05048273858757731,6,0.36,0.18,0.1,1,0,0,0.2453028480681912,0.043671089639530425,0.04533834078320312,0.045294990191446706,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.11444619272038392,0.1923112689801645,0.18,0.18,0.17999999999999997,0.09615563449008226,64,0.0,0.0,0.0,0.0
2021-12-17,2021-12-16,1,1.0,0.03498106955768247,6,0.36,0.18,0.1,1,0,0,0.21166908866576242,0.03290695068563942,0.04839548975958612,0.0483795091847594,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.12644300583222104,0.2031229100576087,0.18,0.18,0.18,0.10156145502880436,64,0.0,0.0,0.0,0.0
